method,scale_factor,min_neighbors,mean_iou
DoubleViolaJones,1.2,6,0.6141058098093578
DoubleViolaJones,1.2,7,0.6092666436744885
DoubleViolaJones,1.2,4,0.6058766696656531
DoubleViolaJones,1.2,5,0.603321928732757
DoubleViolaJones,1.2,3,0.60308167071809
DoubleViolaJones,1.3,7,0.6016055509957045
DoubleViolaJones,1.3,4,0.6012512126242072
DoubleViolaJones,1.3,5,0.5988982905979667
DoubleViolaJones,1.3,3,0.5947903576325824
DoubleViolaJones,1.1,7,0.5939473050271645
DoubleViolaJones,1.3,6,0.5890620207147218
DoubleViolaJones,1.1,6,0.5793160723923035
DoubleViolaJones,1.1,5,0.5637434485527295
DoubleViolaJones,1.1,4,0.544502988746074
DoubleViolaJones,1.05,7,0.5431175446111377
DoubleViolaJones,1.05,6,0.5199706082590021
DoubleViolaJones,1.1,3,0.5144603935497909
DoubleViolaJones,1.05,5,0.473158226477526
DoubleViolaJones,1.05,4,0.4393413053158592
DoubleViolaJones,1.05,3,0.3758319796800791
