method,scale_factor,min_neighbors,min_size,mean_iou,mAP
VJ_R_sf=1.05_mn=1_ms=None,1.05,1,,0.22403884654125844,0.05689978196304213
VJ_R_sf=1.05_mn=2_ms=None,1.05,2,,0.33100157181191536,0.053173473793037385
VJ_R_sf=1.1_mn=1_ms=None,1.1,1,,0.336314755696394,0.05180515919031656
VJ_R_sf=1.05_mn=3_ms=None,1.05,3,,0.4063092583340615,0.051229195333591285
VJ_R_sf=1.05_mn=4_ms=None,1.05,4,,0.4723082663564299,0.05007364416942001
VJ_R_sf=1.05_mn=5_ms=None,1.05,5,,0.518137759948156,0.04920139470598751
VJ_R_sf=1.05_mn=6_ms=None,1.05,6,,0.5679763571220485,0.04797812699428569
VJ_R_sf=1.1_mn=2_ms=None,1.1,2,,0.485641082244921,0.04691257521957861
VJ_R_sf=1.05_mn=7_ms=None,1.05,7,,0.5810823898899575,0.04580384361808871
VJ_R_sf=1.1_mn=3_ms=None,1.1,3,,0.5573015500278757,0.0454464267360632
VJ_R_sf=1.2_mn=1_ms=None,1.2,1,,0.44110830350070607,0.04352619322483121
VJ_R_sf=1.2_mn=2_ms=None,1.2,2,,0.5935411934758335,0.03970022342857236
VJ_R_sf=1.1_mn=4_ms=None,1.1,4,,0.5800931676931502,0.0383703238382965
VJ_R_sf=1.3_mn=1_ms=None,1.3,1,,0.4908933574449991,0.037750196662862806
VJ_R_sf=1.1_mn=5_ms=None,1.1,5,,0.593613477140193,0.034366333438784404
VJ_R_sf=1.2_mn=3_ms=None,1.2,3,,0.6426863981356298,0.03144760071547009
VJ_R_sf=1.1_mn=6_ms=None,1.1,6,,0.6238791203427978,0.031324761389351495
VJ_R_sf=1.3_mn=2_ms=None,1.3,2,,0.563884939295134,0.03020713869580863
VJ_R_sf=1.1_mn=7_ms=None,1.1,7,,0.6370048500767228,0.030173519206800573
VJ_R_sf=1.2_mn=4_ms=None,1.2,4,,0.6362351430909975,0.0275145161678967
VJ_R_sf=1.3_mn=3_ms=None,1.3,3,,0.6076370259323568,0.02330585623339909
VJ_R_sf=1.2_mn=5_ms=None,1.2,5,,0.6396773391216305,0.0228859436630246
VJ_R_sf=1.2_mn=6_ms=None,1.2,6,,0.6412696098493268,0.019610099426742626
VJ_R_sf=1.3_mn=4_ms=None,1.3,4,,0.6021709208170222,0.01563214955104235
VJ_R_sf=1.2_mn=7_ms=None,1.2,7,,0.6343752625729541,0.014308722817062615
VJ_R_sf=1.3_mn=5_ms=None,1.3,5,,0.6231870934540849,0.011694598592322825
VJ_R_sf=1.3_mn=6_ms=None,1.3,6,,0.6194841822586628,0.007802440932342895
VJ_R_sf=1.3_mn=7_ms=None,1.3,7,,0.6272649550327203,0.007337219416386083
