method,scale_factor,min_neighbors,mean_iou,mAP
VJ_L_R_sf=1.05_mn=1_ms=None,1.05,1,0.21434709327760265,0.09768640357643973
VJ_L_R_sf=1.05_mn=2_ms=None,1.05,2,0.3155875042666303,0.0922210875590924
VJ_L_R_sf=1.1_mn=1_ms=None,1.1,1,0.319954904795314,0.0885122406303638
VJ_L_R_sf=1.05_mn=3_ms=None,1.05,3,0.3758319796800791,0.0862685989726844
VJ_L_R_sf=1.05_mn=4_ms=None,1.05,4,0.4393413053158592,0.08477693936722343
VJ_L_R_sf=1.05_mn=5_ms=None,1.05,5,0.473158226477526,0.08183554448603628
VJ_L_R_sf=1.1_mn=2_ms=None,1.1,2,0.44553988402983724,0.08063893866834505
VJ_L_R_sf=1.05_mn=6_ms=None,1.05,6,0.5199706082590021,0.07900528061096494
VJ_L_R_sf=1.1_mn=3_ms=None,1.1,3,0.5144603935497909,0.07646553326960386
VJ_L_R_sf=1.2_mn=1_ms=None,1.2,1,0.41907504846673127,0.07588931415408125
VJ_L_R_sf=1.05_mn=7_ms=None,1.05,7,0.5431175446111377,0.07549657896952901
VJ_L_R_sf=1.2_mn=2_ms=None,1.2,2,0.5589406932474472,0.06886381643583486
VJ_L_R_sf=1.1_mn=4_ms=None,1.1,4,0.544502988746074,0.06643710557553797
VJ_L_R_sf=1.3_mn=1_ms=None,1.3,1,0.47096535025634184,0.0632004892622304
VJ_L_R_sf=1.1_mn=5_ms=None,1.1,5,0.5637434485527295,0.060584456509107855
VJ_L_R_sf=1.1_mn=6_ms=None,1.1,6,0.5793160723923035,0.0570425589668081
VJ_L_R_sf=1.2_mn=3_ms=None,1.2,3,0.60308167071809,0.05698955894109191
VJ_L_R_sf=1.1_mn=7_ms=None,1.1,7,0.5939473050271645,0.053700027970911925
VJ_L_R_sf=1.2_mn=4_ms=None,1.2,4,0.6058766696656531,0.049804011638793666
VJ_L_R_sf=1.3_mn=2_ms=None,1.3,2,0.556247672739694,0.04974466089574464
VJ_L_R_sf=1.2_mn=5_ms=None,1.2,5,0.603321928732757,0.04114954041903123
VJ_L_R_sf=1.3_mn=3_ms=None,1.3,3,0.5947903576325824,0.03880576008902377
VJ_L_R_sf=1.2_mn=6_ms=None,1.2,6,0.6141058098093578,0.03643722997023561
VJ_L_R_sf=1.2_mn=7_ms=None,1.2,7,0.6092666436744885,0.02920158909646487
VJ_L_R_sf=1.3_mn=4_ms=None,1.3,4,0.6012512126242072,0.02760353827969568
VJ_L_R_sf=1.3_mn=5_ms=None,1.3,5,0.5988982905979667,0.01832131273871159
VJ_L_R_sf=1.3_mn=6_ms=None,1.3,6,0.5890620207147218,0.012372291445748501
VJ_L_R_sf=1.3_mn=7_ms=None,1.3,7,0.6016055509957045,0.011784360001905782
