method,scale_factor,min_neighbors,mean_iou,mAP
VJ_L_R_sf=1.05_mn=1_ms=None,1.05,1,0.214,0.098
VJ_L_R_sf=1.05_mn=2_ms=None,1.05,2,0.316,0.092
VJ_L_R_sf=1.1_mn=1_ms=None,1.1,1,0.32,0.089
VJ_L_R_sf=1.05_mn=3_ms=None,1.05,3,0.376,0.086
VJ_L_R_sf=1.05_mn=4_ms=None,1.05,4,0.439,0.085
VJ_L_R_sf=1.05_mn=5_ms=None,1.05,5,0.473,0.082
VJ_L_R_sf=1.1_mn=2_ms=None,1.1,2,0.446,0.081
VJ_L_R_sf=1.05_mn=6_ms=None,1.05,6,0.52,0.079
VJ_L_R_sf=1.1_mn=3_ms=None,1.1,3,0.514,0.076
VJ_L_R_sf=1.2_mn=1_ms=None,1.2,1,0.419,0.076
VJ_L_R_sf=1.05_mn=7_ms=None,1.05,7,0.543,0.075
VJ_L_R_sf=1.2_mn=2_ms=None,1.2,2,0.559,0.069
VJ_L_R_sf=1.1_mn=4_ms=None,1.1,4,0.545,0.066
VJ_L_R_sf=1.3_mn=1_ms=None,1.3,1,0.471,0.063
VJ_L_R_sf=1.1_mn=5_ms=None,1.1,5,0.564,0.061
VJ_L_R_sf=1.1_mn=6_ms=None,1.1,6,0.579,0.057
VJ_L_R_sf=1.2_mn=3_ms=None,1.2,3,0.603,0.057
VJ_L_R_sf=1.1_mn=7_ms=None,1.1,7,0.594,0.054
VJ_L_R_sf=1.2_mn=4_ms=None,1.2,4,0.606,0.05
VJ_L_R_sf=1.3_mn=2_ms=None,1.3,2,0.556,0.05
VJ_L_R_sf=1.2_mn=5_ms=None,1.2,5,0.603,0.041
VJ_L_R_sf=1.3_mn=3_ms=None,1.3,3,0.595,0.039
VJ_L_R_sf=1.2_mn=6_ms=None,1.2,6,0.614,0.036
VJ_L_R_sf=1.2_mn=7_ms=None,1.2,7,0.609,0.029
VJ_L_R_sf=1.3_mn=4_ms=None,1.3,4,0.601,0.028
VJ_L_R_sf=1.3_mn=5_ms=None,1.3,5,0.599,0.018
VJ_L_R_sf=1.3_mn=6_ms=None,1.3,6,0.589,0.012
VJ_L_R_sf=1.3_mn=7_ms=None,1.3,7,0.602,0.012
