method,scale_factor,min_neighbors,mean_iou
ViolaJones,1.20,3,0.642686
ViolaJones,1.20,5,0.639677
ViolaJones,1.10,7,0.637005
ViolaJones,1.20,4,0.636235
ViolaJones,1.20,7,0.634375
ViolaJones,1.30,7,0.627265
ViolaJones,1.10,6,0.623879
ViolaJones,1.30,5,0.623187
ViolaJones,1.30,6,0.619484
ViolaJones,1.30,3,0.607637
ViolaJones,1.30,4,0.602171
ViolaJones,1.10,5,0.593613
ViolaJones,1.05,7,0.581082
ViolaJones,1.10,4,0.580093
ViolaJones,1.05,6,0.567976
ViolaJones,1.10,3,0.557302
ViolaJones,1.05,5,0.518138
ViolaJones,1.05,4,0.472308
ViolaJones,1.05,3,0.406309
