method,scale_factor,min_neighbors,min_size,mean_iou,mAP
VJ_L_sf=1.05_mn=1_ms=None,1.05,1,,0.20531240803182202,0.04194394250873602
VJ_L_sf=1.05_mn=2_ms=None,1.05,2,,0.30149464251094105,0.0400188881740399
VJ_L_sf=1.1_mn=1_ms=None,1.1,1,,0.3041567655131556,0.03764015921128973
VJ_L_sf=1.05_mn=3_ms=None,1.05,3,,0.34817053655391006,0.03603180161262612
VJ_L_sf=1.05_mn=4_ms=None,1.05,4,,0.4087759109736078,0.035530510184435024
VJ_L_sf=1.1_mn=2_ms=None,1.1,2,,0.4084394557492156,0.034041095477447075
VJ_L_sf=1.05_mn=5_ms=None,1.05,5,,0.43187104276941035,0.03380405853986647
VJ_L_sf=1.2_mn=1_ms=None,1.2,1,,0.39797937875335127,0.03368602986238713
VJ_L_sf=1.05_mn=6_ms=None,1.05,6,,0.4748869484571844,0.03225531249725813
VJ_L_sf=1.1_mn=3_ms=None,1.1,3,,0.4727368324580907,0.03204496790303779
VJ_L_sf=1.05_mn=7_ms=None,1.05,7,,0.5062584715249046,0.03092045901342473
VJ_L_sf=1.2_mn=2_ms=None,1.2,2,,0.5272849164427535,0.030474763075632755
VJ_L_sf=1.1_mn=4_ms=None,1.1,4,,0.5107859771120012,0.02884016482396044
VJ_L_sf=1.1_mn=5_ms=None,1.1,5,,0.5356513978573768,0.02664628621038769
VJ_L_sf=1.2_mn=3_ms=None,1.2,3,,0.5692856366551226,0.0265292481522797
VJ_L_sf=1.3_mn=1_ms=None,1.3,1,,0.4517365713900927,0.02648833022857193
VJ_L_sf=1.1_mn=6_ms=None,1.1,6,,0.5414374816343833,0.026016132927400838
VJ_L_sf=1.1_mn=7_ms=None,1.1,7,,0.5551348700529147,0.023836635456212854
VJ_L_sf=1.2_mn=4_ms=None,1.2,4,,0.5787875703014994,0.022910812435701963
VJ_L_sf=1.3_mn=2_ms=None,1.3,2,,0.5481739909525136,0.020056691342678613
VJ_L_sf=1.2_mn=5_ms=None,1.2,5,,0.5715109446424922,0.01877794161533276
VJ_L_sf=1.2_mn=6_ms=None,1.2,6,,0.5917356215411477,0.01779476043918854
VJ_L_sf=1.3_mn=3_ms=None,1.3,3,,0.5819436893328079,0.016046185225556717
VJ_L_sf=1.2_mn=7_ms=None,1.2,7,,0.5915764803596602,0.015492202591136879
VJ_L_sf=1.3_mn=4_ms=None,1.3,4,,0.6004409935019657,0.01232890980504037
VJ_L_sf=1.3_mn=5_ms=None,1.3,5,,0.5771221225200672,0.0070593635180041985
VJ_L_sf=1.3_mn=6_ms=None,1.3,6,,0.564171161269679,0.004907822379145909
VJ_L_sf=1.3_mn=7_ms=None,1.3,7,,0.5799976318066385,0.0045718387095838075
